,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_dropout,param_epochs,param_layer_size,param_n_layers,params,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc_ovr,split1_test_roc_auc_ovr,split2_test_roc_auc_ovr,mean_test_roc_auc_ovr,std_test_roc_auc_ovr,rank_test_roc_auc_ovr
10,77.43783529599507,0.6975729244041694,2.573448657989502,0.07773844582098313,512,0.2,20,32,5,"{'batch_size': 512, 'dropout': 0.2, 'epochs': 20, 'layer_size': 32, 'n_layers': 5}",0.7450522915489965,0.7503656055736587,0.747094036771842,0.7475039779648324,0.0021884340394371384,17,0.7420730660449818,0.7474032340410152,0.7442450967546638,0.7445737989468869,0.0021884098587579984,17,0.9244646134893,0.9262352968389237,0.9249703964340265,0.9252234355874167,0.0007446929976037135,18
11,96.486323595047,0.43793668621886583,2.677299896876017,0.026962003306297246,512,0.2,20,32,7,"{'batch_size': 512, 'dropout': 0.2, 'epochs': 20, 'layer_size': 32, 'n_layers': 7}",0.7425709536178983,0.7457967691851974,0.7404745678488871,0.7429474302173276,0.002189026836822594,18,0.7397959644699865,0.7429438899757379,0.7376577374363515,0.7401325306273586,0.002171145588720602,18,0.9212346129927426,0.9235409559326662,0.9221130914386908,0.9222962201213666,0.0009504232478034067,19
12,49.231918017069496,0.6202829959373398,2.35991104443868,0.023428356336484286,512,0.2,20,16,2,"{'batch_size': 512, 'dropout': 0.2, 'epochs': 20, 'layer_size': 16, 'n_layers': 2}",0.7274280477822914,0.7334613871665574,0.7293954233234896,0.7300949527574462,0.002512276803109403,24,0.7249767319977952,0.7311020046716937,0.7268640464819978,0.7276475943838289,0.0025612759604345557,23,0.9187374580477666,0.9187644017253376,0.9172609526100031,0.9182542707943692,0.0007024681496857698,22
13,58.527705113093056,0.596817193772517,2.3905831972757974,0.06227431066280777,512,0.2,20,16,3,"{'batch_size': 512, 'dropout': 0.2, 'epochs': 20, 'layer_size': 16, 'n_layers': 3}",0.7289922970971878,0.7259333633630646,0.7337893883923308,0.7295716829508612,0.003233269582604344,25,0.7267523290592498,0.7234483786873173,0.7308309199260842,0.7270105425575504,0.003019435316252805,25,0.9178522559692943,0.915867575227464,0.9195083332191253,0.9177427214719612,0.0014883498789018943,23
14,74.14392717679341,1.2853482019078473,2.435758908589681,0.0035199743955329574,512,0.2,20,16,5,"{'batch_size': 512, 'dropout': 0.2, 'epochs': 20, 'layer_size': 16, 'n_layers': 5}",0.6926626744023594,0.7263401350509986,0.7256321813381388,0.7148783302638323,0.015711499475043387,27,0.6931650808280698,0.7237284995911138,0.7228791007215373,0.7132575603802404,0.014211759696948193,27,0.8971465785844318,0.9117353091819643,0.9142905705833337,0.9077241527832433,0.007551871607129537,26
15,90.69931387901306,0.1654676888789312,2.583450714747111,0.019458094450988363,512,0.2,20,16,7,"{'batch_size': 512, 'dropout': 0.2, 'epochs': 20, 'layer_size': 16, 'n_layers': 7}",0.7207052135386063,0.7316241499478708,0.5845940911400447,0.6789744848755074,0.06688572261363955,28,0.7180776563926012,0.728571880379338,0.586311123962536,0.6776535535781584,0.0647307848983498,28,0.9034144616150824,0.9089502121797446,0.8626021152039272,0.8916555963329181,0.020667844716902826,28
16,46.51861071586609,0.6349458017106867,2.265728314717611,0.006945363101973129,512,0.4,20,128,2,"{'batch_size': 512, 'dropout': 0.4, 'epochs': 20, 'layer_size': 128, 'n_layers': 2}",0.75485586552868,0.7575944364235369,0.7550172070035945,0.7558225029852705,0.0012546762796612281,9,0.751448037807115,0.7539725210429534,0.7515237221742804,0.7523147603414496,0.0011726209783915987,10,0.9338307069960544,0.9348873387365904,0.9339596788241875,0.9342259081856108,0.0004706564305590483,6
17,56.896920363108315,0.47771395939193506,2.337907393773397,0.004709326921368203,512,0.4,20,128,3,"{'batch_size': 512, 'dropout': 0.4, 'epochs': 20, 'layer_size': 128, 'n_layers': 3}",0.7585023420738134,0.7598126803843296,0.7575363920611207,0.7586171381730878,0.000932829295173487,5,0.7555639892650926,0.7565704165217116,0.7545508351669205,0.7555617469845749,0.0008244921600684442,5,0.9353211198754166,0.9358193083724862,0.9345285818409232,0.935223003362942,0.0005314846390600846,5
18,74.6048408349355,0.7155757667131918,2.475431442260742,0.0843095665963014,512,0.4,20,128,5,"{'batch_size': 512, 'dropout': 0.4, 'epochs': 20, 'layer_size': 128, 'n_layers': 5}",0.7560972464331603,0.7573069122127476,0.7564584681113397,0.7566208755857492,0.0005070206868785366,8,0.75355797121093,0.7545734255623879,0.7537240266928112,0.753951807822043,0.0004447471694489552,6,0.9326217972284827,0.9334240241631194,0.9326630002620535,0.9329029405512186,0.0003688455145790333,9
19,93.00554935137431,0.22361975953746657,2.6441284815470376,0.08404790889822847,512,0.4,20,128,7,"{'batch_size': 512, 'dropout': 0.4, 'epochs': 20, 'layer_size': 128, 'n_layers': 7}",0.7520146158671996,0.751077437518122,0.7507115662002712,0.7512678731951977,0.0005487464010196357,13,0.7499028617383683,0.7495719120058916,0.7483520306506486,0.7492756014649696,0.0006668929040236363,12,0.9281146888573085,0.926799674137477,0.9260454527327768,0.9269866052425207,0.0008550407254594773,15
