,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_norm,param_batch_size,param_dropout,param_epochs,param_layer_size,param_n_layers,params,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy
12,235.37853940327963,0.7277170616265162,2.8735011418660483,0.011115010324107836,0,512,0.4,30,32,2,"{'batch_norm': 0, 'batch_size': 512, 'dropout': 0.4, 'epochs': 30, 'layer_size': 32, 'n_layers': 2}",0.7045979906728655,0.7108876605777353,0.7010534872593901,0.705513046169997,0.004066590392940685,23,0.7034301101502707,0.7096095024239494,0.6999408131638752,0.7043268085793651,0.0039978276648302835,23
13,303.9164900779724,0.047352884955658335,3.568788925806681,0.10675531930410381,0,512,0.4,30,32,3,"{'batch_norm': 0, 'batch_size': 512, 'dropout': 0.4, 'epochs': 30, 'layer_size': 32, 'n_layers': 3}",0.7017120860384832,0.5522217714731561,0.6935173701044139,0.6491504092053512,0.06862049718936922,24,0.7006605401790958,0.6078759154757764,0.6931817668400103,0.6672394074982941,0.042087220162380305,24
14,0.291384220123291,0.003064789144064582,0.0,0.0,0,512,0.4,30,32,5,"{'batch_norm': 0, 'batch_size': 512, 'dropout': 0.4, 'epochs': 30, 'layer_size': 32, 'n_layers': 5}",,,,,,40,,,,,,40
15,0.29338447252909344,0.0038593281168753484,0.0,0.0,0,512,0.4,30,32,7,"{'batch_norm': 0, 'batch_size': 512, 'dropout': 0.4, 'epochs': 30, 'layer_size': 32, 'n_layers': 7}",,,,,,39,,,,,,39
16,259.73678676287335,1.2014516811622389,3.05769936243693,0.07969832856011208,0,512,0.4,30,64,2,"{'batch_norm': 0, 'batch_size': 512, 'dropout': 0.4, 'epochs': 30, 'layer_size': 64, 'n_layers': 2}",0.7245645152439625,0.7158295814798008,0.7224281172087118,0.7209407379774917,0.0037178837797122903,16,0.7228442083005774,0.7134182430997636,0.7203580125873683,0.7188734879959031,0.003988739561878043,16
17,331.2197506427765,1.610747891929651,3.566621700922648,0.08947607695888692,0,512,0.4,30,64,3,"{'batch_norm': 0, 'batch_size': 512, 'dropout': 0.4, 'epochs': 30, 'layer_size': 64, 'n_layers': 3}",0.7090454985061829,0.712311430518754,0.7102834962959488,0.7105468084402952,0.0013462486005450843,21,0.7070535932120686,0.7099528764350549,0.7078158250238329,0.7082740982236522,0.001227184187758529,21
18,0.2918845017751058,0.0027786205327701586,0.0,0.0,0,512,0.4,30,64,5,"{'batch_norm': 0, 'batch_size': 512, 'dropout': 0.4, 'epochs': 30, 'layer_size': 64, 'n_layers': 5}",,,,,,38,,,,,,38
19,0.29355136553446454,0.005931374230227103,0.0,0.0,0,512,0.4,30,64,7,"{'batch_norm': 0, 'batch_size': 512, 'dropout': 0.4, 'epochs': 30, 'layer_size': 64, 'n_layers': 7}",,,,,,37,,,,,,37
20,291.9947452545166,0.8807564214421068,3.1833879947662354,0.0013126332001324144,0,512,0.4,30,128,2,"{'batch_norm': 0, 'batch_size': 512, 'dropout': 0.4, 'epochs': 30, 'layer_size': 128, 'n_layers': 2}",0.7472496112498426,0.7451013050724795,0.7437337703546533,0.7453615622256584,0.0014470854937671525,12,0.7446619136689347,0.7420673826316003,0.7405764165307478,0.7424352376104277,0.0016880579928070154,12
21,356.52566289901733,0.3035584122020729,3.7833260695139566,0.09050834897199148,0,512,0.4,30,128,3,"{'batch_norm': 0, 'batch_size': 512, 'dropout': 0.4, 'epochs': 30, 'layer_size': 128, 'n_layers': 3}",0.7134299675511189,0.7158060179683114,0.7151893321646389,0.7148084392280231,0.001006715275250195,18,0.7108397263863663,0.713522158918914,0.7131110137214062,0.7124909663422289,0.0011796059051610264,18
22,0.2955515384674072,0.003895627501640486,0.0,0.0,0,512,0.4,30,128,5,"{'batch_norm': 0, 'batch_size': 512, 'dropout': 0.4, 'epochs': 30, 'layer_size': 128, 'n_layers': 5}",,,,,,36,,,,,,36
23,0.2988855044047038,0.006237279143585376,0.0,0.0,0,512,0.4,30,128,7,"{'batch_norm': 0, 'batch_size': 512, 'dropout': 0.4, 'epochs': 30, 'layer_size': 128, 'n_layers': 7}",,,,,,32,,,,,,32
24,348.11166111628216,0.3845075078934191,3.3386685053507485,0.08411881136657416,1,512,0.2,30,32,2,"{'batch_norm': 1, 'batch_size': 512, 'dropout': 0.2, 'epochs': 30, 'layer_size': 32, 'n_layers': 2}",0.7476987488463483,0.7479922349582607,0.7471237840331949,0.7476049226126014,0.0003606977256339753,9,0.7451679362411558,0.7453158814998215,0.7443806391274685,0.7449548189561487,0.0004104743651254743,9
25,476.1945469379425,3.295341134440375,4.062331358591716,0.09093208182483609,1,512,0.2,30,32,3,"{'batch_norm': 1, 'batch_size': 512, 'dropout': 0.2, 'epochs': 30, 'layer_size': 32, 'n_layers': 3}",0.7447409553330641,0.7473428817441137,0.7445682817462533,0.7455507062744772,0.001269218585684655,11,0.7418110186415101,0.7444167837602165,0.7417240086204949,0.7426506036740738,0.0012493829833039915,11
26,0.3098502953847249,0.0037428467620318822,0.0,0.0,1,512,0.2,30,32,5,"{'batch_norm': 1, 'batch_size': 512, 'dropout': 0.2, 'epochs': 30, 'layer_size': 32, 'n_layers': 5}",,,,,,34,,,,,,34
27,0.309553861618042,0.00294421983219349,0.0,0.0,1,512,0.2,30,32,7,"{'batch_norm': 1, 'batch_size': 512, 'dropout': 0.2, 'epochs': 30, 'layer_size': 32, 'n_layers': 7}",,,,,,33,,,,,,33
28,377.92422747612,1.3287128644801207,3.2408981323242188,0.07871639085264287,1,512,0.2,30,64,2,"{'batch_norm': 1, 'batch_size': 512, 'dropout': 0.2, 'epochs': 30, 'layer_size': 64, 'n_layers': 2}",0.7555877732211738,0.7575746181112883,0.7541746650966997,0.7557790188097205,0.00139459702225088,5,0.7528486359980844,0.7544875820596115,0.7509499261294068,0.7527620480623676,0.0014455392242082603,5
29,513.1164662837982,1.6657718581169163,3.935185194015503,0.000408218840182194,1,512,0.2,30,64,3,"{'batch_norm': 1, 'batch_size': 512, 'dropout': 0.2, 'epochs': 30, 'layer_size': 64, 'n_layers': 3}",0.7568844320102327,0.7584155793916368,0.7566840121987433,0.7573280078668709,0.000773369636211385,3,0.7539148978466932,0.7551788481609158,0.7532948091789294,0.7541295183955129,0.0007839843563034626,3
30,0.31055402755737305,0.0044162622587629015,0.0,0.0,1,512,0.2,30,64,5,"{'batch_norm': 1, 'batch_size': 512, 'dropout': 0.2, 'epochs': 30, 'layer_size': 64, 'n_layers': 5}",,,,,,47,,,,,,47
